address,listing_dates,CRMLS_ID,Event,price
121 Manhattan Ave ,"Apr 12, 2018,Apr 12, 2018,Apr 12, 2018,Mar 13, 2018,Mar 10, 2018,Feb 27, 2018,Feb 19, 2018,Jul 30, 2004,Dec 14, 1981,Jun 3, 1975","SDMLS #301734761,CRMLS #SB18045549,Public Records,CRMLS #SB18045549,CRMLS #SB18045549,CRMLS #SB18045549,SDMLS #301734761,Public Records,Public Records,Public Records","Sold (MLS),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,300,000,$1,300,000,$1,300,000,$1,200,000,$1,200,000,$760,000,$108,000,$33,500"
1218 2nd St ,"Oct 1, 2018,Oct 1, 2018,Sep 21, 2018,Sep 13, 2018,Jun 11, 2018,Dec 21, 1978","CRMLS #SB18224328,Public Records,CRMLS #SB18224328,CRMLS #SB18224328,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,153,000,$1,153,000,$1,099,000,$940,000,$120,000"
220 4th St ,"Feb 7, 2019,Feb 7, 2019,Jan 9, 2019,Dec 13, 2018,May 16, 2018,Apr 12, 2018,Dec 29, 2012,Sep 28, 2005,May 30, 2001,Apr 5, 2001,Jan 31, 2001,Mar 5, 1999,Oct 30, 1998,Oct 30, 1998,Jun 27, 1998,Nov 27, 1997,Jul 25, 1996,Sep 1, 1994","CRMLS #PW18290182,Public Records,CRMLS #PW18290182,CRMLS #PW18290182,CRMLS #SB18061135,CRMLS #SB18061135,CRMLS #S154097,Public Records,Public Records,CRMLS #S190434,CRMLS #S190434,Public Records,CRMLS #S154097,CRMLS #S154097,CRMLS #S154097,CRMLS #S139605,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Delisted (Canceled),Listed (Active),Price Changed,Sold (Public Records),Sold (Public Records),Delisted,Listed,Sold (Public Records),Price Changed,Price Changed,Listed,Listed,Sold (Public Records),Sold (Public Records)","$1,900,000,$1,900,000,$1,899,900,*,**,$1,450,000,$729,000,*,$585,000,**,**,**,**,$250,000,$165,000"
132 35th Pl ,"Apr 23, 2019,Apr 23, 2019,Apr 17, 2019,Mar 22, 2019,Mar 14, 2019,Jan 14, 2009,Oct 21, 2008,Sep 30, 2008,Sep 24, 2008,Mar 17, 1997,Sep 24, 1996,May 24, 1994,Apr 15, 1987","CRMLS #SB19057826,Public Records,CRMLS #SB19057826,CRMLS #SB19057826,CRMLS #SB19057826,CRMLS #S08137308,CRMLS #S08137308,CRMLS #S08137308,CRMLS #S08137308,Public Records,CRMLS #S121877,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed),Delisted,Contingent,Listed,Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records)","$1,605,000,$1,605,000,$1,499,000,$759,000,$749,000,$325,000,**,$247,500,$190,000"
1401 Manhattan Ave ,"Dec 13, 2019,Nov 26, 2019,Nov 9, 2019,Oct 30, 2019,Oct 2, 2019,Aug 12, 2019,Jul 11, 2019,Feb 15, 2012,Feb 15, 2012,Feb 5, 2012,Feb 1, 2012,Jan 14, 2010,Sep 24, 2009,Aug 20, 2009,Jul 4, 2009,Jul 7, 2004,May 29, 2004,Feb 18, 2004,Feb 13, 2004,Nov 6, 1998,Feb 20, 1996,Jan 15, 1996","CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #SB19160041,CRMLS #S12014216,Public Records,CRMLS #S12014216,CRMLS #S12014216,CRMLS #S09071742,CRMLS #S09071742,CRMLS #S09071742,CRMLS #S09071742,CRMLS #S354714,CRMLS #S354714,CRMLS #S354714,Public Records,Public Records,Public Records,CRMLS #S115654","Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Price Changed,Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Delisted (Withdrawn),Price Changed,Price Changed,Listed (Active),Delisted,Listed,Price Changed,Sold (Public Records),Sold (Public Records),Sold (Public Records),Listed","$1,730,000,$1,749,000,$1,829,000,$1,899,000,$1,999,000,$1,169,000,$1,169,000,$1,169,000,*,*,*,**,**,$895,000,$520,000,$401,000,**"
1600 Ardmore Ave #130 ,"Dec 31, 2019,Dec 31, 2019,Dec 12, 2019,Nov 26, 2019,Sep 26, 2019,Mar 25, 2016,Mar 25, 2016,Mar 14, 2016,Jan 29, 2016,Jan 14, 2016,Apr 29, 2011,Apr 28, 2011,Mar 29, 2011,Mar 11, 2011,Mar 1, 2011,Feb 17, 2011,Nov 1, 2010,Jul 24, 2010,Jul 22, 2010,Jul 20, 2010,Jul 6, 2010,Jun 7, 2010,Jun 7, 2010,Feb 4, 2010,May 6, 2009,Jun 5, 2003,Aug 7, 2002,Aug 1, 2000,Jul 9, 1999,Apr 18, 1999,May 5, 1989","CRMLS #SB19229099,Public Records,CRMLS #SB19229099,CRMLS #SB19229099,CRMLS #SB19229099,CRMLS #SB16008744,Public Records,CRMLS #SB16008744,CRMLS #SB16008744,CRMLS #SB16008744,CRMLS #S10077370,Public Records,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10077370,CRMLS #S10060981,CRMLS #S10060981,CRMLS #S09050875,CRMLS #S09050875,CRMLS #S09050875,Public Records,Public Records,Public Records,CRMLS #S178984,CRMLS #S178984,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Relisted (Active),Pending,Price Changed,Price Changed,Relisted (Active),Delisted (Hold),Listed (Active),Delisted (Withdrawn),Listed (Active),Delisted (Expired),Price Changed,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records),Price Changed,Listed,Sold (Public Records)","$683,000,$683,000,$689,000,$610,000,$610,000,$599,000,$469,000,$469,000,$475,000,$499,900,$514,000,*,*,*,$365,000,$275,000,$218,000,**,**,$189,900"
1836 Palm Dr ,"May 26, 2017,May 26, 2017,May 10, 2017,Apr 18, 2017,Apr 7, 2017,Dec 6, 2016,Sep 1, 2014,Feb 24, 2014,Nov 11, 2013,Oct 2, 2013,Jan 11, 2005,Jun 21, 2001,Jun 27, 1997,Jun 27, 1997,May 19, 1997,Jul 10, 1981","CRMLS #SB16758565,Public Records,CRMLS #SB16758565,CRMLS #SB16758565,CRMLS #SB16758565,CRMLS #SB16758565,CRMLS #SB14038843,CRMLS #SB14038843,CRMLS #SB13200395,CRMLS #SB13200395,Public Records,Public Records,Public Records,Public Records,CRMLS #V12787,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Listed (Active),Delisted (Expired),Listed (Active),Delisted (Cancelled),Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Listed,Sold (Public Records)","$1,700,000,$1,700,000,$1,710,000,$1,795,000,*,*,$1,110,000,$635,000,$435,500,$435,500,**,$69,000"
217 30th St ,"Jul 31, 2015,Jul 31, 2015,Jul 31, 2015,Jul 31, 2015,Jul 31, 2015,Aug 17, 2007,Aug 17, 2007,Aug 17, 2007,Apr 30, 2007,Apr 6, 2007,Mar 27, 2007,Mar 26, 2007,Mar 26, 2007,Mar 21, 2007,Jan 29, 2007,Jan 15, 2007,Mar 1, 2006,Dec 2, 2005,Jul 28, 2005,Jul 22, 2005,May 31, 2005","SDMLS #301698089,CRMLS #SB15168613,SDMLS #301698089,CRMLS #SB15168613,Public Records,CRMLS #S943974,CRMLS #S943968,Public Records,CRMLS #S943974,CRMLS #S943968,CRMLS #S943968,CRMLS #S939769,CRMLS #S943974,CRMLS #S939813,CRMLS #S939813,CRMLS #S939769,CRMLS #S914414,CRMLS #S914414,Public Records,CRMLS #S903314,CRMLS #S903314","Sold (MLS),Sold (MLS),Listed,Listed,Sold (Public Records),Sold (MLS),Sold (MLS) (Closed),Sold (Public Records),Delisted,Delisted,Listed,Delisted,Listed,Delisted,Listed,Listed,Delisted,Listed,Sold (Public Records),Sold (MLS),Listed","$2,460,000,$2,460,000,$2,460,000,$2,460,000,$2,460,000,$1,785,000,$1,785,000,$1,785,000,$1,795,000,$1,795,000,*,*,*,$1,580,000,$1,580,000,$1,549,000"
429 25th St ,"Oct 14, 2015,Oct 14, 2015,Oct 14, 2015,Oct 14, 2015,Oct 13, 2015,Oct 13, 2015,Oct 13, 2015,Oct 13, 2015,Oct 13, 2015,Aug 25, 1976,Aug 25, 1975","CRMLS #SB15224625,SDMLS #301702662,CRMLS #SB15224616,Public Records,CRMLS #SB15224625,CRMLS #SB15224625,SDMLS #301702662,CRMLS #SB15224616,CRMLS #SB15224616,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (MLS),Sold (MLS) (Closed Sale),Sold (Public Records),Delisted,Listed,Listed,Listed,Delisted,Sold (Public Records),Sold (Public Records)","$2,460,000,$2,460,000,$2,460,000,$2,460,000,$2,250,000,$2,250,000,$2,250,000,$78,500,$78,500"
3400 Hermosa Ave ,"Nov 5, 2015,Nov 3, 2015,Nov 3, 2015,Nov 2, 2015,Oct 16, 2015,Oct 1, 2015,Oct 1, 2015,Jun 20, 2015,Nov 24, 2010,Aug 3, 2010","CRMLS #SB15134097,SDMLS #301799636,CRMLS #SB15215890,CRMLS #SB15215890,CRMLS #SB15215890,CRMLS #SB15215890,SDMLS #301799636,CRMLS #SB15134097,TheMLS #10-469139,TheMLS #10-469139","Delisted (Withdrawn),Sold (MLS),Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Listed,Listed (Active),Delisted (Expired),Listed (Active)","$3,750,000,$3,750,000,$3,750,000,$3,750,000,*,*"
824 17th St ,"Dec 17, 2015,Dec 17, 2015,Nov 8, 2015,Oct 24, 2015,Sep 16, 2015,Aug 24, 2015,Aug 20, 2015,Aug 18, 2015,Aug 10, 2015,Jul 9, 2015,Jun 24, 2015,Dec 21, 2012,Sep 13, 2004,Jul 29, 2004,Jul 29, 2004,Jul 28, 2004,Jul 28, 2004,Jul 17, 2004,Jun 2, 2004,Jun 2, 2004,May 10, 2004,Nov 2, 2001,Jun 25, 2001,Nov 5, 1996,Oct 17, 1996,Aug 5, 1996,Jul 16, 1996","CRMLS #SB15137240,Public Records,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #SB15137240,CRMLS #S361206,CRMLS #S363423,CRMLS #S363423,CRMLS #S363423,CRMLS #S363423,Public Records,CRMLS #S363423,CRMLS #S361206,CRMLS #S361206,CRMLS #S361206,Public Records,CRMLS #S306413,Public Records,CRMLS #S120532,CRMLS #S120532,CRMLS #S119991","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Relisted (Active),Contingent (Active Under Contract),Delisted,Price Changed,Price Changed,Listed (Active),Price Changed,Delisted,Price Changed,Price Changed,Price Changed,Sold (Public Records),Listed,Delisted,Price Changed,Listed,Sold (Public Records),Listed,Sold (Public Records),Delisted,Listed,Listed","$1,500,000,$1,500,000,$1,549,000,$1,599,000,$1,699,000,$1,779,000,*,**,**,**,$1,215,000,**,*,*,$780,000,**,$225,000,*,**"
242 Longfellow Ave ,"Dec 21, 2015,Dec 18, 2015,Dec 18, 2015,Oct 2, 2015,Sep 28, 2015,Sep 17, 2015,Sep 17, 2015,Sep 12, 2015,Sep 8, 2015,May 17, 1974","CRMLS #SB15197999,CRMLS #SB15197999,Public Records,CRMLS #SB15197999,CRMLS #SB15197999,CRMLS #SB15197999,CRMLS #SB15197999,CRMLS #SB15197999,CRMLS #SB15197999,Public Records","Delisted,Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Price Changed,Price Changed,Relisted (Active),Pending (Pending Sale),Listed (Active),Sold (Public Records)","$1,575,000,$1,575,000,$1,599,000,$1,649,000,$1,599,000,$43,000"
1286 Bonnie Brae ,"Dec 23, 2015,Dec 23, 2015,Nov 30, 2015,Sep 2, 2015,Jul 17, 2015,Jun 12, 2015,May 28, 2015,Oct 7, 2008,Oct 7, 2008,Oct 4, 2008,Jul 31, 2008,May 4, 2007,May 1, 2007,Feb 28, 2007,Feb 28, 2007,Feb 20, 2007,Feb 8, 2007,Feb 1, 2007,Feb 1, 2007,Jan 30, 2007,Jan 29, 2007,Jan 28, 2007,Jun 1, 2006,Nov 27, 2002,Oct 1, 1974","CRMLS #SB15114457,Public Records,CRMLS #SB15114457,CRMLS #SB15114457,CRMLS #SB15114457,CRMLS #SB15114457,CRMLS #SB15114457,CRMLS #S08110110,Public Records,CRMLS #S08110110,CRMLS #S08110110,CRMLS #S940843,Public Records,CRMLS #S940843,CRMLS #S940843,CRMLS #S940843,CRMLS #S940843,CRMLS #S940844,CRMLS #S940844,CRMLS #S935447,CRMLS #S935447,CRMLS #S935447,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Delisted,Listed,Sold (MLS) (Closed Sale),Sold (Public Records),Price Changed,Delisted,Price Changed,Listed,Delisted,Listed,Delisted,Price Changed,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$2,150,000,$2,150,000,$2,200,000,$2,325,000,$2,399,000,$1,660,000,$1,660,000,$1,749,000,$790,000,$790,000,$805,000,$815,000,$825,000,*,*,*,$800,000,$415,000,$49,000"
620 6th St ,"Apr 12, 2016,Apr 12, 2016,Mar 8, 2016,Feb 17, 2016,Jan 26, 2016,May 16, 2003,Mar 4, 1994","CRMLS #OC16016512,Public Records,CRMLS #OC16016512,CRMLS #OC16016512,CRMLS #OC16016512,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Price Changed,Listed (Active),Sold (Public Records),Sold (Public Records)","$1,250,000,$1,250,000,$1,349,000,$1,399,000,$649,000,$329,000"
248 27th St ,"Apr 27, 2016,Apr 24, 2016,Mar 18, 2016,Mar 4, 2016,Feb 1, 2016,Apr 9, 1999,Oct 8, 1993,Sep 27, 1984","Public Records,CRMLS #SB16021183,CRMLS #SB16021183,CRMLS #SB16021183,CRMLS #SB16021183,Public Records,Public Records,Public Records","Sold (Public Records),Sold (MLS) (Closed Sale),Pending (Pending Sale),Price Changed,Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,800,000,$1,800,000,$1,750,000,$1,999,000,$493,000,$327,000,$195,000"
23 19th St ,"Jun 3, 2016,Jun 3, 2016,May 16, 2016,May 5, 2016","CRMLS #SB16095388,Public Records,CRMLS #SB16095388,CRMLS #SB16095388","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active)","$4,350,000,$4,350,000,$4,000,000"
850 1st St ,"Jul 26, 2016,Jul 26, 2016,Jul 24, 2016,Jun 22, 2016,Jun 9, 2016,Aug 12, 1986","CRMLS #SB16124869,Public Records,CRMLS #SB16124869,CRMLS #SB16124869,CRMLS #SB16124869,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records)","$750,000,$750,000,$750,000,$159,000"
1312 Owosso Ave ,"Jul 28, 2016,Jul 27, 2016,Jun 27, 2016,Jun 9, 2016,May 23, 2016,May 10, 2016,Apr 13, 2016,Feb 18, 2016,Dec 9, 2014","CRMLS #SB16124599,Public Records,CRMLS #SB16124599,CRMLS #SB16124599,CRMLS #SB16033733,CRMLS #SB16033733,CRMLS #SB16033733,CRMLS #SB16033733,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Delisted (Canceled),Price Changed,Price Changed,Listed (Active),Sold (Public Records)","$2,390,000,$2,390,000,$2,395,000,*,*,*,$875,000"
644 5th St ,"Aug 5, 2016,Aug 5, 2016,Aug 5, 2016,Jul 5, 2016,Jun 25, 2016,Jun 11, 2016,Jun 9, 2016,Jun 29, 2012,Jun 29, 2012,Jun 22, 2012,Jun 23, 2011,Jun 18, 2011,May 24, 2011,Jan 5, 2011,Jan 1, 2011,Aug 3, 2010,May 28, 2010,Apr 20, 2010,Oct 28, 1986","SDMLS #301718848,CRMLS #SB16126440,Public Records,CRMLS #SB16126440,CRMLS #SB16126440,CRMLS #SB16126440,SDMLS #301718848,CRMLS #S11080366,Public Records,CRMLS #S11080366,CRMLS #S11080366,CRMLS #S11001318,CRMLS #S11001318,CRMLS #S11001318,TheMLS #10-443665,TheMLS #10-443665,TheMLS #10-443665,TheMLS #10-443665,Public Records","Sold (MLS),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Listed,Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Delisted (Expired),Price Changed,Listed (Active),Delisted (Expired),Relisted (Active),Delisted (Withdrawn),Listed (Active),Sold (Public Records)","$1,960,000,$1,960,000,$1,960,000,$1,850,000,$1,850,000,$1,200,000,$1,200,000,$1,387,500,*,*,*,$415,000"
3410 The Strand ,"Aug 10, 2016,Aug 10, 2016,Jul 12, 2016,Jun 13, 2016,May 21, 2004","CRMLS #SB16126891,Public Records,CRMLS #SB16126891,CRMLS #SB16126891,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Sold (Public Records)","$6,450,000,$6,450,000,$6,749,000,$2,400,000"
47 6th St ,"Aug 22, 2016,Aug 22, 2016,Aug 22, 2016,Aug 16, 2016,Jul 30, 2016,Jul 18, 2016,Jul 13, 2016,Jul 13, 2016,Jul 7, 2016,Jul 7, 2016,Mar 31, 2016,Mar 17, 2016,Mar 10, 2016,Apr 2, 2015,Mar 25, 2015,Jan 30, 2015,Jan 8, 2015","CRMLS #SB16146960,SDMLS #301720593,CRMLS #SB16152637,CRMLS #SB16152637,CRMLS #SB16146960,CRMLS #SB16152640,CRMLS #SB16152640,CRMLS #SB16152637,CRMLS #SB16146960,SDMLS #301720593,CRMLS #SB16050210,CRMLS #SB16050210,CRMLS #SB16050210,CRMLS #SB15004192,CRMLS #SB15004192,CRMLS #SB15004192,CRMLS #SB15004192","Sold (MLS) (Closed Sale),Sold (MLS),Sold (MLS) (Closed Sale),Pending (Pending Sale),Pending (Pending Sale),Delisted (Delete),Listed (Active),Listed (Active),Listed (Active),Listed,Sold (MLS) (Closed Sale),Pending (Pending Sale),Listed (Active),Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active)","$3,200,000,$3,200,000,$3,200,000,*,$3,350,000,$3,350,000,$3,350,000,$3,150,000,$2,999,000,$2,600,000,$2,899,999"
1044 14th St ,"Oct 14, 2016,Sep 15, 2016,Aug 5, 2016,Apr 1, 2016","CRMLS #SB16067663,CRMLS #SB16067663,CRMLS #SB16067663,CRMLS #SB16067663","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Price Changed,Listed (Active)","$2,225,000,$2,299,000,$2,395,000"
705 30th St ,"Nov 2, 2016,Nov 2, 2016,Oct 5, 2016,Sep 11, 2016,Sep 8, 2016,Sep 10, 1985","CRMLS #WS16197434,Public Records,CRMLS #WS16197434,CRMLS #WS16197434,CRMLS #WS16197434,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records)","$1,519,000,$1,519,000,$1,530,000,$128,500"
1707 Pacific Coast Hwy #507 ,"Dec 7, 2016,Dec 7, 2016,Nov 23, 2016,Oct 29, 2016,Sep 22, 2016,Aug 11, 2000,Aug 11, 2000,Oct 26, 1977","CRMLS #SB16708574,Public Records,CRMLS #SB16708574,CRMLS #SB16708574,CRMLS #SB16708574,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$470,000,$524,545,$499,000,$163,500,$163,500,$52,500"
1865 Prospect Ave ,"Dec 16, 2016,Dec 15, 2016,Nov 9, 2016,Oct 26, 2016,Feb 13, 1973","CRMLS #SB16734479,Public Records,CRMLS #SB16734479,CRMLS #SB16734479,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Sold (Public Records)","$1,625,000,$1,625,000,$1,665,000,$23,500"
3224 Hermosa Ave ,"Mar 17, 2017,Mar 17, 2017,Mar 4, 2017,Aug 29, 2016,Aug 22, 2016,Aug 5, 2016,Jul 29, 2016,Jul 29, 2016,Jun 20, 2016,Jun 18, 2016,Jun 17, 2016,Jun 17, 2016,Jun 16, 2016,Jun 15, 2016,May 16, 2016,Apr 12, 2016,Apr 22, 2015,Apr 22, 2015,Apr 22, 2015,Mar 29, 2015,Mar 6, 2015,Jan 10, 2015,Aug 5, 2014,Apr 4, 1988,Jul 29, 1982","CRMLS #SB16075477,Public Records,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB16075477,CRMLS #SB14166431,CRMLS #SB14166431,Public Records,CRMLS #SB14166431,CRMLS #SB14166431,CRMLS #SB14166431,CRMLS #SB14166431,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Relisted (Active),Delisted (Hold Do Not Show),Relisted (Active),Relisted (Active),Delisted (Hold Do Not Show),Delisted (Hold Do Not Show),Relisted (Active),Relisted (Active),Delisted (Hold Do Not Show),Delisted (Hold Do Not Show),Relisted (Active),Delisted (Hold Do Not Show),Listed (Active),Delisted,Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Pending (Pending Sale),Price Changed,Listed (Active),Sold (Public Records),Sold (Public Records)","$7,750,000,$7,750,000,$7,995,000,$6,425,000,$6,425,000,$6,500,000,$7,250,000,$441,000,$321,000"
1600 Ardmore Ave #319 ,"Apr 20, 2017,Apr 19, 2017,Mar 16, 2017,Mar 10, 2017,Apr 11, 2008,Apr 11, 2008,Mar 4, 2008,Feb 18, 2008,Feb 17, 2008,Sep 14, 2007,May 31, 2000,Apr 21, 2000,Apr 21, 2000,Apr 5, 2000,Apr 5, 2000,Dec 6, 1999,Aug 31, 1999,Jun 6, 1996,Jan 15, 1996,Feb 1, 1989","CRMLS #SB17049040,Public Records,CRMLS #SB17049040,CRMLS #SB17049040,CRMLS #S08024183,Public Records,CRMLS #S08024183,CRMLS #S08024183,CRMLS #S954789,CRMLS #S954789,Public Records,CRMLS #V25368,CRMLS #V25164,CRMLS #V25164,CRMLS #V23878,CRMLS #V23878,Public Records,CRMLS #V7320,CRMLS #V7320,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Delisted,Listed,Delisted,Listed,Sold (Public Records),Listed,Delisted,Listed,Delisted,Listed,Sold (Public Records),Delisted,Listed,Sold (Public Records)","$620,000,$620,000,$619,800,$430,000,$430,000,$460,000,*,$179,000,**,*,*,$147,500,*,$127,500"
445 Monterey Blvd ,"Jul 11, 2017,Jul 11, 2017,Jul 8, 2017,Jun 14, 2017,Jun 9, 2017,May 23, 2017,Feb 23, 2017,Feb 8, 2017,Dec 3, 2016,Sep 6, 2016,Jul 9, 2016,Jul 10, 2014,May 28, 2014,May 11, 2014,Apr 2, 2014,Dec 19, 2012,Jul 15, 2009,May 8, 2009,Aug 8, 2008,Jun 20, 2008,Jun 3, 2005,Jun 3, 2005,Jun 3, 2005,Jan 18, 2005,Jan 18, 2005,Jan 18, 2005,Oct 21, 2004,Mar 16, 2001,Apr 1, 1998,Aug 27, 1996","CRMLS #SB17129636,Public Records,CRMLS #SB17129636,CRMLS #SB17129636,CRMLS #SB17129636,CRMLS #SB17037716,CRMLS #SB17037716,CRMLS #SB16757413,CRMLS #SB16757413,CRMLS #SB16149457,CRMLS #SB16149457,CRMLS #SB14066632,CRMLS #SB14066632,CRMLS #SB14066632,CRMLS #SB14066632,CRMLS #S375702,CRMLS #S09051618,CRMLS #S09051618,CRMLS #S08090370,CRMLS #S08090370,CRMLS #S375702,CRMLS #S375702,Public Records,CRMLS #S375702,CRMLS #S375702,CRMLS #S375702,CRMLS #S375702,Public Records,CRMLS #S144700,CRMLS #S121023","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Delisted (Canceled),Listed (Active),Delisted (Canceled),Listed (Active),Delisted (Canceled),Listed (Active),Delisted (Cancelled),Relisted (Active),Delisted (Hold),Listed (Active),Price Changed,Delisted,Listed,Delisted,Listed,Sold (MLS) (Closed Sale),Sold (MLS) (Closed Sale),Sold (Public Records),Delisted,Price Changed,Price Changed,Listed,Sold (Public Records),Listed,Listed","$1,894,000,$1,894,000,$1,899,000,*,*,*,*,$429,900,*,*,$1,425,000,$1,425,000,$1,425,000,$1,450,000,$1,450,000,$429,900,$859,000,**,**"
1325 Corona St ,"Jul 28, 2017,Jul 28, 2017,Jun 20, 2017,Jun 9, 2017,Oct 1, 2002,May 16, 1977","CRMLS #SB17127857,Public Records,CRMLS #SB17127857,CRMLS #SB17127857,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,365,000,$1,365,000,$1,285,000,$450,000,$75,000"
1225 Prospect Ave ,"Aug 30, 2017,Aug 30, 2017,Aug 15, 2017,Aug 3, 2017,Aug 3, 2017","CRMLS #SB17178646,SDMLS #301725707,CRMLS #SB17178646,CRMLS #SB17178646,SDMLS #301725707","Sold (MLS) (Closed Sale),Sold (MLS),Pending (Pending Sale),Listed (Active),Listed","$850,000,$850,000,$675,000,$675,000"
313 Anita St Unit A ,"Sep 1, 2017,Sep 1, 2017,Aug 22, 2017,Jul 28, 2017,Jul 19, 2017,Aug 16, 2013,Jul 22, 2013,Jun 7, 2013","CRMLS #SB17165382,Public Records,CRMLS #SB17165382,CRMLS #SB17165382,CRMLS #SB17165382,TheMLS #13-678793,TheMLS #13-678793,TheMLS #13-678793","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed),Pending,Listed (Active)","$1,130,000,$1,130,000,$1,090,000,$775,000,$798,000"
